Generation 178, Best Fitness: 0.625
Generation 179, Best Fitness: 0.625
Generation 180, Best Fitness: 0.625
Generation 181, Best Fitness: 0.625
Generation 182, Best Fitness: 0.625
Generation 183, Best Fitness: 0.625
Generation 184, Best Fitness: 0.625
Generation 185, Best Fitness: 0.625
Generation 186, Best Fitness: 0.625
Generation 187, Best Fitness: 0.625
Generation 188, Best Fitness: 0.625
Generation 189, Best Fitness: 0.625
Generation 190, Best Fitness: 0.625
Generation 191, Best Fitness: 0.625
Generation 192, Best Fitness: 0.625
Generation 193, Best Fitness: 0.75
Generation 194, Best Fitness: 0.75
Generation 195, Best Fitness: 0.75
Generation 196, Best Fitness: 0.75
Generation 197, Best Fitness: 0.75
Generation 198, Best Fitness: 0.75
Generation 199, Best Fitness: 0.75
Generation 200, Best Fitness: 0.75
Generation 201, Best Fitness: 0.75
Generation 202, Best Fitness: 0.75
Generation 203, Best Fitness: 0.75
Generation 204, Best Fitness: 0.75
Generation 205, Best Fitness: 0.75
Generation 206, Best Fitness: 0.75
Generation 207, Best Fitness: 0.75
Generation 208, Best Fitness: 0.75
Generation 209, Best Fitness: 0.75
Generation 210, Best Fitness: 0.75
Generation 211, Best Fitness: 0.75
Generation 212, Best Fitness: 0.75
Generation 213, Best Fitness: 0.75
Generation 214, Best Fitness: 0.75
Generation 215, Best Fitness: 0.75
Generation 216, Best Fitness: 0.75
Generation 217, Best Fitness: 0.75
Generation 218, Best Fitness: 0.75
Generation 219, Best Fitness: 0.75
Generation 220, Best Fitness: 0.75
Generation 221, Best Fitness: 0.625
Generation 222, Best Fitness: 0.625
Generation 223, Best Fitness: 0.625
Generation 224, Best Fitness: 0.625
Generation 225, Best Fitness: 0.75
Generation 226, Best Fitness: 0.75
Generation 227, Best Fitness: 0.75
Generation 228, Best Fitness: 0.75
Generation 229, Best Fitness: 0.75
Generation 230, Best Fitness: 0.75
Generation 231, Best Fitness: 0.75
Generation 232, Best Fitness: 0.75
Generation 233, Best Fitness: 0.75
Generation 234, Best Fitness: 0.75
Generation 235, Best Fitness: 0.75
Generation 236, Best Fitness: 0.75
Generation 237, Best Fitness: 0.75
Generation 238, Best Fitness: 0.625
Generation 239, Best Fitness: 0.75
Generation 240, Best Fitness: 0.75
Generation 241, Best Fitness: 0.75
Generation 242, Best Fitness: 0.75
Generation 243, Best Fitness: 0.75
Generation 244, Best Fitness: 0.75
Generation 245, Best Fitness: 0.75
Generation 246, Best Fitness: 0.75
Generation 247, Best Fitness: 0.75
Generation 248, Best Fitness: 0.75
Generation 249, Best Fitness: 0.75
Generation 250, Best Fitness: 0.75
Generation 251, Best Fitness: 0.75
